episode_id,failure_mode,service,elapsed_s,timestamp,log_level,exception_type,log_message
ep_00000_NONE,NONE,auth-service,0,1700386978,INFO,,OK cpu=41% p99=103ms error_rate=0.3%
ep_00000_NONE,NONE,auth-service,2,1700386980,INFO,,OK cpu=38% p99=93ms error_rate=1.2%
ep_00000_NONE,NONE,auth-service,4,1700386982,INFO,,OK cpu=38% p99=102ms error_rate=1.0%
ep_00000_NONE,NONE,auth-service,6,1700386984,INFO,,OK cpu=34% p99=86ms error_rate=0.6%
ep_00000_NONE,NONE,auth-service,8,1700386986,INFO,,OK cpu=33% p99=102ms error_rate=1.3%
ep_00000_NONE,NONE,auth-service,10,1700386988,INFO,,OK cpu=33% p99=82ms error_rate=0.3%
ep_00000_NONE,NONE,auth-service,12,1700386990,INFO,,OK cpu=39% p99=81ms error_rate=0.9%
ep_00000_NONE,NONE,auth-service,14,1700386992,INFO,,OK cpu=24% p99=81ms error_rate=0.2%
ep_00000_NONE,NONE,auth-service,16,1700386994,INFO,,OK cpu=33% p99=106ms error_rate=0.3%
ep_00000_NONE,NONE,auth-service,18,1700386996,INFO,,OK cpu=36% p99=93ms error_rate=1.3%
ep_00000_NONE,NONE,auth-service,20,1700386998,INFO,,OK cpu=31% p99=110ms error_rate=0.2%
ep_00000_NONE,NONE,auth-service,22,1700387000,INFO,,OK cpu=33% p99=96ms error_rate=0.9%
ep_00000_NONE,NONE,auth-service,24,1700387002,INFO,,OK cpu=28% p99=88ms error_rate=0.9%
ep_00000_NONE,NONE,auth-service,26,1700387004,INFO,,OK cpu=37% p99=86ms error_rate=0.2%
ep_00000_NONE,NONE,auth-service,28,1700387006,INFO,,OK cpu=35% p99=91ms error_rate=0.7%
ep_00000_NONE,NONE,auth-service,30,1700387008,INFO,,OK cpu=33% p99=111ms error_rate=0.3%
ep_00000_NONE,NONE,auth-service,32,1700387010,INFO,,OK cpu=39% p99=97ms error_rate=0.7%
ep_00000_NONE,NONE,auth-service,34,1700387012,INFO,,OK cpu=41% p99=112ms error_rate=0.7%
ep_00000_NONE,NONE,auth-service,36,1700387014,INFO,,OK cpu=41% p99=83ms error_rate=1.4%
ep_00000_NONE,NONE,auth-service,38,1700387016,INFO,,OK cpu=36% p99=74ms error_rate=0.2%
ep_00000_NONE,NONE,auth-service,40,1700387018,INFO,,OK cpu=39% p99=105ms error_rate=2.3%
ep_00000_NONE,NONE,auth-service,42,1700387020,INFO,,OK cpu=39% p99=82ms error_rate=1.1%
ep_00000_NONE,NONE,auth-service,44,1700387022,INFO,,OK cpu=39% p99=103ms error_rate=0.6%
ep_00000_NONE,NONE,auth-service,46,1700387024,INFO,,OK cpu=37% p99=96ms error_rate=0.2%
ep_00000_NONE,NONE,auth-service,48,1700387026,INFO,,OK cpu=41% p99=84ms error_rate=0.7%
ep_00000_NONE,NONE,auth-service,50,1700387028,INFO,,OK cpu=30% p99=98ms error_rate=0.5%
ep_00000_NONE,NONE,auth-service,52,1700387030,INFO,,OK cpu=31% p99=92ms error_rate=0.8%
ep_00000_NONE,NONE,auth-service,54,1700387032,INFO,,OK cpu=20% p99=100ms error_rate=0.1%
ep_00000_NONE,NONE,auth-service,56,1700387034,INFO,,OK cpu=31% p99=79ms error_rate=0.8%
ep_00000_NONE,NONE,auth-service,58,1700387036,INFO,,OK cpu=36% p99=86ms error_rate=0.2%
ep_00000_NONE,NONE,auth-service,60,1700387038,INFO,,OK cpu=31% p99=102ms error_rate=1.1%
ep_00000_NONE,NONE,auth-service,62,1700387040,INFO,,OK cpu=41% p99=93ms error_rate=1.0%
ep_00000_NONE,NONE,auth-service,64,1700387042,INFO,,OK cpu=29% p99=84ms error_rate=0.3%
ep_00000_NONE,NONE,auth-service,66,1700387044,INFO,,OK cpu=29% p99=89ms error_rate=1.1%
ep_00000_NONE,NONE,auth-service,68,1700387046,INFO,,OK cpu=33% p99=95ms error_rate=1.2%
ep_00000_NONE,NONE,auth-service,70,1700387048,INFO,,OK cpu=44% p99=100ms error_rate=3.0%
ep_00000_NONE,NONE,auth-service,72,1700387050,INFO,,OK cpu=37% p99=86ms error_rate=0.6%
ep_00000_NONE,NONE,auth-service,74,1700387052,INFO,,OK cpu=39% p99=99ms error_rate=1.4%
ep_00000_NONE,NONE,auth-service,76,1700387054,INFO,,OK cpu=35% p99=105ms error_rate=0.5%
ep_00000_NONE,NONE,auth-service,78,1700387056,INFO,,OK cpu=41% p99=95ms error_rate=0.9%
