episode_id,failure_mode,service,elapsed_s,timestamp,p50_latency_ms,p99_latency_ms,heap_mb,gc_pause_ms,error_rate,cache_miss_rate,db_p99_ms,cpu_pct,queue_lag,retry_rate,rps
ep_00000_NONE,NONE,auth-service,0,1700386978,81.7,102.5,530.8,2.0,0.0025,0.044,20.5,40.6,8,0.003,217.57
ep_00000_NONE,NONE,auth-service,2,1700386980,99.8,93.5,503.4,5.01,0.0119,0.0224,15.7,38.1,6,0.0132,183.51
ep_00000_NONE,NONE,auth-service,4,1700386982,95.2,102.4,522.9,13.61,0.0098,0.01,21.9,38.2,7,0.0122,194.5
ep_00000_NONE,NONE,auth-service,6,1700386984,102.0,86.3,531.4,18.09,0.0061,0.0333,26.0,34.0,10,0.0469,209.94
ep_00000_NONE,NONE,auth-service,8,1700386986,91.1,101.9,503.5,9.04,0.0126,0.01,23.2,32.7,13,0.0036,198.03
ep_00000_NONE,NONE,auth-service,10,1700386988,78.4,81.8,492.1,12.11,0.0035,0.0465,15.1,33.3,7,0.0037,204.75
ep_00000_NONE,NONE,auth-service,12,1700386990,85.2,80.5,513.4,18.5,0.0089,0.01,30.2,39.2,9,0.0011,181.47
ep_00000_NONE,NONE,auth-service,14,1700386992,86.9,81.2,524.7,2.0,0.002,0.0279,14.9,24.3,2,0.0121,187.76
ep_00000_NONE,NONE,auth-service,16,1700386994,88.9,105.7,515.1,6.97,0.0034,0.0238,27.0,32.5,14,0.0065,183.57
ep_00000_NONE,NONE,auth-service,18,1700386996,93.1,93.4,511.2,16.07,0.0126,0.0349,19.4,36.4,3,0.0213,222.13
ep_00000_NONE,NONE,auth-service,20,1700386998,93.4,110.4,515.7,29.29,0.002,0.01,30.6,30.5,14,0.0408,206.75
ep_00000_NONE,NONE,auth-service,22,1700387000,101.3,95.9,524.9,2.0,0.0088,0.0704,20.3,32.6,11,0.0115,226.75
ep_00000_NONE,NONE,auth-service,24,1700387002,88.8,88.0,507.5,18.06,0.0095,0.0675,18.4,27.7,9,0.001,186.92
ep_00000_NONE,NONE,auth-service,26,1700387004,85.8,86.2,510.1,25.69,0.0022,0.0476,18.0,36.7,11,0.0111,215.55
ep_00000_NONE,NONE,auth-service,28,1700387006,93.5,91.2,509.3,6.11,0.0068,0.0646,22.3,35.3,11,0.0106,256.28
ep_00000_NONE,NONE,auth-service,30,1700387008,106.7,110.7,519.7,2.0,0.003,0.0109,14.4,32.6,13,0.0274,197.93
ep_00000_NONE,NONE,auth-service,32,1700387010,88.0,96.5,541.4,9.21,0.0068,0.0204,12.7,39.3,11,0.0136,226.0
ep_00000_NONE,NONE,auth-service,34,1700387012,93.5,112.4,520.8,11.45,0.0069,0.0439,20.5,40.9,4,0.0015,168.56
